Independent_Variable,Dependent_Variable,Correlation,P_Value,Sample_Size
FAS_total_T_x,Right-Cerebellum-Cortex,0.2015064256891344,0.0002241291017973273,331
Edu_x,transversetemporal_rh,0.18865995440483757,0.00022513656737365047,378
BNT_totalwstim_raw_x,postcentral_rh,0.19895142922872153,0.0002373827413441954,337
BNT_totalwstim_T_x,parsorbitalis_rh,0.2004641251863417,0.00024192844638243368,331
FAS_total_T_x,precuneus,0.20039253536122892,0.00024319819832221707,331
FAS_total_raw_x,isthmuscingulate,0.19850548384023817,0.00024532190532568996,337
FAS_total_T_x,Left-Cerebellum-Cortex,0.19958842529747883,0.00025789428556141495,331
BNT_totalwstim_T_x,Right-Caudate,0.1995316081727264,0.00025896342924710034,331
Animals_T_x,insula,0.2001975379258742,0.0002633685606650604,328
Age_x,pericalcarine_rh,-0.185170855933726,0.0002639167173098744,384
Age_x,rostralanteriorcingulate,-0.18447738960255575,0.0002785635804739908,384
BNT_totalwstim_raw_x,Left-Putamen,0.19624337392527058,0.00028955578681811136,337
Edu_x,inferiorparietal,0.18528462660571704,0.0002925343785257918,378
BNT_totalwstim_raw_x,cuneus,0.19559971267580387,0.0003034397421113568,337
FAS_total_raw_x,Left-Inf-Lat-Vent,-0.1952719551319598,0.0003107457037412217,337
Animals_T_x,rostralanteriorcingulate_rh,0.1975516567085306,0.00031859412656586966,328
BNT_totalwstim_T_x,Brain-Stem,0.1966415400825056,0.0003191378379075978,331
BNT_totalwstim_T_x,transversetemporal,0.19662315282909415,0.0003195593406595751,331
FAS_total_raw_x,lingual,0.19452966202274602,0.00032790236684382824,337
FAS_total_raw_x,rostralanteriorcingulate_rh,0.1943222267289062,0.00033285226936313875,337
Edu_x,insula,0.18320484929757136,0.0003429865380953834,378
Animals_T_x,lateraloccipital_rh,0.19645362177448472,0.0003445368051099898,328
FAS_total_raw_x,paracentral_rh,0.19300966708372133,0.00036582237892282305,337
Edu_x,superiorfrontal,0.18217094344099505,0.0003709812710217348,378
Animals_T_x,rostralanteriorcingulate,0.19536445019611134,0.00037220221694137515,328
Animals_raw_x,parsorbitalis_rh,0.19326712967588094,0.0003740484704328879,335
BNT_totalwstim_T_x,Left-Caudate,0.19413637460955657,0.0003815937480916887,331
BNT_totalwstim_T_x,lateraloccipital_rh,0.19408405757328406,0.0003830117664031543,331
BNT_totalwstim_T_x,caudalanteriorcingulate,0.19363983803700335,0.00039525108606877575,331
FAS_total_T_x,Right-Amygdala,0.1932431542076001,0.0004064871624202481,331
FAS_total_T_x,isthmuscingulate_rh,0.193203461541121,0.00040762765507666287,331
FAS_total_T_x,parsorbitalis_rh,0.19303662157800006,0.0004124540949702935,331
BNT_totalwstim_T_x,inferiorparietal_rh,0.192982121232335,0.0004140421887026649,331
FAS_total_T_x,Left-Amygdala,0.19237441404965716,0.00043213954960362607,331
FAS_total_raw_x,CC_Mid_Anterior,0.1905541221097527,0.00043580615238783137,337
Animals_T_x,postcentral,0.19265570754553796,0.0004502199709374166,328
FAS_total_T_x,fusiform_rh,0.19015328601608655,0.0005047247474255671,331
Edu_x,medialorbitofrontal,0.17781134869733528,0.0005140701019417501,378
FAS_total_raw_x,superiorparietal_rh,0.18756352667555454,0.0005378082086251112,337
Animals_T_x,transversetemporal,0.18930526315827273,0.0005677076278723071,328
Edu_x,superiortemporal,0.17549154195617053,0.0006096598928023455,378
Edu_x,lingual_rh,0.17521241563979018,0.0006222112115030913,378
FAS_total_T_x,CC_Mid_Anterior,0.1867439898715903,0.0006384213370320528,331
Edu_x,rostralanteriorcingulate,0.17479725421991224,0.0006413230652149224,378
Animals_T_x,CC_Anterior,0.18734524801412653,0.0006490170154557629,328
Age_x,superiorparietal,-0.1724474876679566,0.0006895300204963742,384
BNT_totalwstim_T_x,bankssts_rh,0.18371684719093417,0.0007838934472623252,331
Age_x,CC_Anterior,-0.17050951786134141,0.0007936544131767656,384
Edu_x,Left-Lateral-Ventricle,0.17179577753852882,0.000796526971062175,378
FAS_total_T_x,entorhinal,0.1832525968866105,0.0008087381387020632,331
Edu_x,precuneus_rh,0.17097965090620443,0.0008443658047658305,378
BNT_totalwstim_T_x,parstriangularis,0.18260269070654456,0.0008447414419066638,331
Age_x,supramarginal_rh,-0.16924022524871846,0.000869535032421201,384
FAS_total_raw_x,Left-Pallidum,0.18052122451796493,0.000871563250325163,337
Edu_x,superiorparietal_rh,0.17043965159187976,0.0008774633302233429,378
BNT_totalwstim_raw_x,caudalmiddlefrontal_rh,0.18022089094284044,0.0008893507511001566,337
FAS_total_raw_x,lateraloccipital_rh,0.1800731783108615,0.0008982215059131554,337
FAS_total_T_x,superiorparietal,0.17972821924168433,0.001022426054478472,331
Edu_x,superiortemporal_rh,0.16768965334012406,0.0010653860185629491,378
FAS_total_raw_x,parahippocampal_rh,0.17684947527402384,0.0011133510295511498,337
Edu_x,transversetemporal,0.1666714387823568,0.0011439058093932542,378
Age_x,paracentral,-0.16536277970343116,0.0011447934327262037,384
FAS_total_T_x,Right-Hippocampus,0.1776730855648565,0.0011699174797466655,331
FAS_total_raw_x,lateraloccipital,0.175992457596596,0.0011780355652493593,337
FAS_total_T_x,inferiorparietal_rh,0.17727069912119228,0.001200993313226941,331
BNT_totalwstim_T_x,Right-Cerebellum-Cortex,0.17706108859938413,0.001217480302616614,331
Edu_x,fusiform_rh,0.16524132144540948,0.0012632063132691804,378
Age_x,temporalpole,-0.16330367609085517,0.0013216539644726171,384
Edu_x,parsopercularis_rh,0.1641897771254508,0.0013581122672253955,378
FAS_total_T_x,entorhinal_rh,0.17527313858364751,0.0013668046524346839,331
BNT_totalwstim_T_x,transversetemporal_rh,0.17506442562055252,0.0013852906237980683,331
BNT_totalwstim_T_x,parsopercularis_rh,0.17468854340072057,0.0014191629482097168,331
BNT_totalwstim_T_x,isthmuscingulate,0.1744199456364366,0.0014438312289250302,331
FAS_total_T_x,Left-Hippocampus,0.173820555332185,0.001500304641835673,331
Animals_T_x,3rd-Ventricle,-0.1746073092326011,0.0015003177424515212,328
FAS_total_raw_x,Left-Cerebellum-White-Matter,0.17225651679592177,0.0015023999427903113,337
Age_x,pericalcarine,-0.16118076481830385,0.0015299998866973045,384
BNT_totalwstim_T_x,parsopercularis,0.17346110228334483,0.0015351360705272163,331
Animals_T_x,Left-Caudate,0.17312526324819966,0.0016480827190509379,328
Animals_raw_x,caudalanteriorcingulate_rh,0.17114319770161335,0.001666817786838374,335
Animals_T_x,parsorbitalis_rh,0.1723474505153511,0.0017308587241493592,328
BNT_totalwstim_T_x,parsorbitalis,0.171073960191796,0.001785909666920459,331
Edu_x,caudalmiddlefrontal_rh,0.15962919344646645,0.0018503670692354137,378
BNT_totalwstim_T_x,Right-Cerebellum-White-Matter,0.1705065984537353,0.0018507800224557623,331
FAS_total_raw_x,CC_Central,0.16865583796081907,0.0018906591179799188,337
Animals_T_x,lingual_rh,0.1705774982521543,0.0019335870399518479,328
Animals_raw_x,Left-Cerebellum-Cortex,0.16844284608176113,0.001977302507456765,335
FAS_total_raw_x,Left-Accumbens-area,0.16794446497610446,0.0019774588926202994,337
Animals_raw_x,cuneus,0.1684287100509238,0.0019790584889495125,335
Animals_T_x,temporalpole_rh,0.16998984986842608,0.0020055514915540526,328
FAS_total_T_x,paracentral_rh,0.16892315732615487,0.0020433907491487903,331
BNT_totalwstim_T_x,precentral,0.16891275083269397,0.0020447150263253463,331
FAS_total_T_x,isthmuscingulate,0.1688635005260692,0.0020509930078307275,331
Edu_x,supramarginal_rh,0.15750035590739198,0.0021319632591401613,378
Edu_x,postcentral_rh,0.1574629559390227,0.002137242819463129,378
Animals_T_x,parsorbitalis,0.1686865539344089,0.0021739642439693313,328
Edu_x,Left-Thalamus-Proper,0.1570507578940295,0.0021962268282174928,378
Edu_x,caudalmiddlefrontal,0.15702172827785915,0.00220043635660701,378
Edu_x,postcentral,0.15699453076953174,0.0022043868961195445,378
Animals_raw_x,Left-Lateral-Ventricle,-0.16614369238900262,0.0022823766497776714,335
Animals_T_x,WM-hypointensities,-0.16709602576894947,0.002396934752072074,328
FAS_total_raw_x,caudalanteriorcingulate_rh,0.164836230211779,0.0024010666576216454,337
Animals_T_x,transversetemporal_rh,0.1670563129812882,0.0024027594511034627,328
FAS_total_raw_x,temporalpole,0.1645649158336409,0.002441712639323143,337
Animals_T_x,Left-Lateral-Ventricle,-0.16652604556959105,0.0024817796407253824,328
FAS_total_T_x,rostralanteriorcingulate_rh,0.1643236515771651,0.0027112791395642903,331
FAS_total_T_x,Left-Pallidum,0.16402988112407144,0.0027600348860490997,331
BNT_totalwstim_T_x,CC_Posterior,0.16396341071410014,0.0027711766894342707,331
Animals_raw_x,Right-Cerebellum-Cortex,0.16294689370539794,0.002778040851929244,335
Age_x,parsorbitalis_rh,-0.15202021607929067,0.0028206080436577845,384
Animals_raw_x,Right-Lateral-Ventricle,-0.1624877581589257,0.0028567620106979843,335
BNT_totalwstim_raw_x,Right-Inf-Lat-Vent,-0.16150162691661252,0.0029461398725866635,337
Edu_x,Right-Lateral-Ventricle,0.15127320453092397,0.003194943341709282,378
BNT_totalwstim_raw_x,paracentral_rh,0.16015986464984444,0.0031955277039689765,337
FAS_total_T_x,CC_Central,0.16143149437589066,0.003227261860387046,331
Animals_raw_x,CC_Central,0.16024573079196625,0.0032710769734760666,335
BNT_totalwstim_raw_x,paracentral,0.15960991689860302,0.0033031650499371684,337
Edu_x,supramarginal,0.1506732659498778,0.0033193565364980564,378
Animals_T_x,Right-Caudate,0.16166683565680512,0.003323984675909026,328
BNT_totalwstim_raw_x,WM-hypointensities,-0.15923136992675582,0.0033791544623203917,337
FAS_total_raw_x,paracentral,0.1590796547410207,0.003410051960162488,337
